Date,Price,Open,High,Low,Vol.,Change %
"Jan 02, 2008",735,735,740,730,44.77M,-0.68%
"Jan 03, 2008",720,735,735,710,102.94M,-2.04%
"Jan 04, 2008",750,720,755,715,143.67M,4.17%
"Jan 07, 2008",745,735,750,730,63.70M,-0.67%
"Jan 08, 2008",750,745,755,745,84.23M,0.67%
"Jan 09, 2008",780,755,780,755,160.02M,4.00%
"Jan 14, 2008",770,780,780,765,156.61M,-1.28%
"Jan 15, 2008",755,770,775,725,136.92M,-1.95%
"Jan 16, 2008",730,720,735,705,106.06M,-3.31%
"Jan 17, 2008",725,730,735,720,99.50M,-0.68%
"Jan 18, 2008",710,705,715,685,140.28M,-2.07%
"Jan 21, 2008",675,700,705,670,76.25M,-4.93%
"Jan 22, 2008",630,650,650,610,184.46M,-6.67%
"Jan 23, 2008",650,665,680,640,231.80M,3.17%
"Jan 24, 2008",670,650,690,650,263.80M,3.08%
"Jan 25, 2008",700,680,705,680,231.48M,4.48%
"Jan 28, 2008",675,690,690,665,62.66M,-3.57%
"Jan 29, 2008",680,685,695,670,178.65M,0.74%
"Jan 30, 2008",685,690,695,670,41.10M,0.74%
"Jan 31, 2008",700,685,715,685,260.10M,2.19%
"Feb 01, 2008",690,700,710,675,118.75M,-1.43%
"Feb 04, 2008",720,700,725,700,128.58M,4.35%
"Feb 05, 2008",705,710,730,700,151.63M,-2.08%
"Feb 06, 2008",685,685,695,675,103.18M,-2.84%
"Feb 11, 2008",675,675,680,670,97.46M,-1.46%
"Feb 12, 2008",675,680,685,670,65.90M,0.00%
"Feb 13, 2008",670,680,685,665,54.88M,-0.74%
"Feb 14, 2008",690,685,690,680,70.93M,2.99%
"Feb 15, 2008",715,670,715,670,76.46M,3.62%
"Feb 18, 2008",700,720,720,695,56.59M,-2.10%
"Feb 19, 2008",730,710,735,705,170.02M,4.29%
"Feb 20, 2008",725,725,730,715,95.94M,-0.68%
"Feb 21, 2008",740,735,745,725,120.55M,2.07%
"Feb 22, 2008",745,735,755,735,99.81M,0.68%
"Feb 25, 2008",750,755,760,745,50.58M,0.67%
"Feb 26, 2008",735,755,755,725,51.80M,-2.00%
"Feb 27, 2008",730,740,745,730,48.10M,-0.68%
"Feb 28, 2008",740,725,750,720,77.05M,1.37%
"Feb 29, 2008",720,730,730,710,87.41M,-2.70%
"Mar 03, 2008",705,700,710,695,82.70M,-2.08%
"Mar 04, 2008",680,705,705,670,150.74M,-3.55%
"Mar 05, 2008",690,670,690,670,80.00M,1.47%
"Mar 06, 2008",685,700,700,675,51.17M,-0.72%
"Mar 10, 2008",630,680,680,625,258.74M,-8.03%
"Mar 11, 2008",635,630,640,610,207.64M,0.79%
"Mar 12, 2008",640,660,660,640,330.60M,0.79%
"Mar 13, 2008",610,635,635,605,182.52M,-4.69%
"Mar 14, 2008",600,620,625,590,84.12M,-1.64%
"Mar 17, 2008",565,550,590,550,116.72M,-5.83%
"Mar 18, 2008",560,570,575,530,166.18M,-0.88%
"Mar 19, 2008",545,580,580,530,176.70M,-2.68%
"Mar 24, 2008",535,545,555,525,129.36M,-1.83%
"Mar 25, 2008",605,550,615,545,289.85M,13.08%
"Mar 26, 2008",650,610,660,600,280.03M,7.44%
"Mar 27, 2008",635,650,650,625,110.47M,-2.31%
"Mar 28, 2008",635,630,640,625,118.81M,0.00%
"Mar 31, 2008",630,635,640,620,93.34M,-0.79%
"Apr 01, 2008",595,635,635,585,221.63M,-5.56%
"Apr 02, 2008",595,610,615,575,162.98M,0.00%
"Apr 03, 2008",565,600,605,550,206.05M,-5.04%
"Apr 04, 2008",580,550,585,550,227.85M,2.65%
"Apr 07, 2008",600,580,610,575,130.71M,3.45%
"Apr 08, 2008",585,585,595,575,106.81M,-2.50%
"Apr 09, 2008",555,585,585,550,142.82M,-5.13%
"Apr 10, 2008",570,545,570,530,304.09M,2.70%
"Apr 11, 2008",605,570,615,570,197.30M,6.14%
"Apr 14, 2008",590,575,595,575,144.42M,-2.48%
"Apr 15, 2008",585,590,600,585,61.39M,-0.85%
"Apr 16, 2008",600,590,610,590,56.14M,2.56%
"Apr 17, 2008",600,600,615,595,110.55M,0.00%
"Apr 18, 2008",625,620,630,610,164.50M,4.17%
"Apr 21, 2008",635,635,640,625,109.56M,1.60%
"Apr 22, 2008",620,630,630,600,270.61M,-2.36%
"Apr 23, 2008",620,620,630,620,51.15M,0.00%
"Apr 24, 2008",595,630,630,590,63.23M,-4.03%
"Apr 25, 2008",585,600,600,575,77.85M,-1.68%
"Apr 28, 2008",565,590,590,560,60.83M,-3.42%
"Apr 29, 2008",585,575,600,575,93.76M,3.54%
"Apr 30, 2008",595,580,595,580,166.64M,1.71%
"May 02, 2008",660,615,660,615,343.22M,10.92%
"May 05, 2008",690,675,695,660,248.96M,4.55%
"May 06, 2008",655,685,685,655,160.18M,-5.07%
"May 07, 2008",625,645,645,620,179.58M,-4.58%
"May 08, 2008",625,615,635,610,134.28M,0.00%
"May 09, 2008",605,620,620,605,73.57M,-3.20%
"May 12, 2008",595,605,605,585,105.28M,-1.65%
"May 13, 2008",635,605,640,600,191.76M,6.72%
"May 14, 2008",640,635,640,625,86.43M,0.79%
"May 15, 2008",650,645,655,635,95.79M,1.56%
"May 16, 2008",640,655,660,635,73.91M,-1.54%
"May 19, 2008",670,645,670,625,75.83M,4.69%
"May 21, 2008",645,660,660,645,132.46M,-3.73%
"May 22, 2008",625,630,640,615,166.17M,-3.10%
"May 23, 2008",620,635,635,615,74.13M,-0.80%
"May 26, 2008",600,610,610,600,33.41M,-3.23%
"May 27, 2008",595,590,615,585,63.76M,-0.83%
"May 28, 2008",605,600,605,570,189.34M,1.68%
"May 29, 2008",585,610,615,585,143.92M,-3.31%
"May 30, 2008",580,590,605,575,138.13M,-0.85%
"Jun 02, 2008",595,585,605,580,125.00M,2.59%
"Jun 03, 2008",595,585,595,585,110.42M,0.00%
"Jun 04, 2008",570,590,590,565,54.21M,-4.20%
"Jun 05, 2008",570,570,580,550,357.38M,0.00%
"Jun 06, 2008",550,575,580,545,436.10M,-3.51%
"Jun 09, 2008",535,530,545,525,372.66M,-2.73%
"Jun 10, 2008",510,525,525,500,657.27M,-4.67%
"Jun 11, 2008",515,510,525,500,426.13M,0.98%
"Jun 12, 2008",520,500,520,500,521.34M,0.97%
"Jun 13, 2008",515,515,520,510,247.03M,-0.96%
"Jun 16, 2008",515,515,520,510,174.21M,0.00%
"Jun 17, 2008",510,515,515,500,175.40M,-0.97%
"Jun 18, 2008",510,505,520,505,185.88M,0.00%
"Jun 19, 2008",490,500,500,485,116.23M,-3.92%
"Jun 20, 2008",490,490,498,490,100.67M,0.00%
"Jun 23, 2008",472,485,485,468,247.88M,-3.67%
"Jun 24, 2008",478,472,478,465,187.60M,1.27%
"Jun 25, 2008",482,472,488,472,345.68M,0.84%
"Jun 26, 2008",515,488,518,488,696.83M,6.85%
"Jun 27, 2008",505,505,520,495,432.30M,-1.94%
"Jun 30, 2008",510,505,525,505,230.57M,0.99%
"Jul 01, 2008",530,520,540,515,363.77M,3.92%
"Jul 02, 2008",550,530,570,530,833.36M,3.77%
"Jul 03, 2008",540,530,550,525,265.96M,-1.82%
"Jul 04, 2008",540,540,555,535,83.19M,0.00%
"Jul 07, 2008",540,545,545,535,29.24M,0.00%
"Jul 08, 2008",535,535,550,530,117.35M,-0.93%
"Jul 09, 2008",560,550,570,545,285.21M,4.67%
"Jul 10, 2008",550,540,555,540,179.40M,-1.79%
"Jul 11, 2008",575,555,580,555,263.42M,4.55%
"Jul 14, 2008",550,570,580,545,156.81M,-4.35%
"Jul 15, 2008",520,535,535,510,250.30M,-5.45%
"Jul 16, 2008",525,525,540,520,275.92M,0.96%
"Jul 17, 2008",535,540,550,530,306.81M,1.90%
"Jul 18, 2008",570,535,575,535,300.32M,6.54%
"Jul 21, 2008",595,580,600,570,268.06M,4.39%
"Jul 22, 2008",580,595,600,580,88.93M,-2.52%
"Jul 23, 2008",595,595,610,585,159.94M,2.59%
"Jul 24, 2008",640,600,640,600,318.00M,7.56%
"Jul 25, 2008",600,630,630,590,170.78M,-6.25%
"Jul 28, 2008",605,610,615,605,45.15M,0.83%
"Jul 29, 2008",605,590,610,585,101.56M,0.00%
"Jul 31, 2008",610,615,620,600,162.34M,0.83%
"Aug 01, 2008",590,610,610,585,111.97M,-3.28%
"Aug 04, 2008",590,580,600,570,79.94M,0.00%
"Aug 05, 2008",605,590,605,585,129.10M,2.54%
"Aug 06, 2008",605,615,620,605,108.11M,0.00%
"Aug 07, 2008",625,610,625,605,124.91M,3.31%
"Aug 08, 2008",605,615,615,595,38.00M,-3.20%
"Aug 11, 2008",585,605,610,585,89.14M,-3.31%
"Aug 12, 2008",580,590,590,570,98.26M,-0.85%
"Aug 13, 2008",605,570,610,570,205.68M,4.31%
"Aug 14, 2008",600,600,605,595,62.91M,-0.83%
"Aug 15, 2008",610,595,610,595,136.13M,1.67%
"Aug 19, 2008",585,600,600,585,169.40M,-4.10%
"Aug 20, 2008",580,585,590,565,93.80M,-0.85%
"Aug 21, 2008",580,580,585,575,66.02M,0.00%
"Aug 22, 2008",585,580,590,580,51.98M,0.86%
"Aug 25, 2008",585,590,590,575,65.85M,0.00%
"Aug 26, 2008",575,580,580,575,49.74M,-1.71%
"Aug 27, 2008",585,565,585,560,57.08M,1.74%
"Aug 28, 2008",570,580,585,570,57.07M,-2.56%
"Aug 29, 2008",585,575,590,570,79.20M,2.63%
"Sep 01, 2008",595,575,600,575,205.79M,1.71%
"Sep 02, 2008",625,595,625,595,277.32M,5.04%
"Sep 03, 2008",640,620,645,615,247.90M,2.40%
"Sep 04, 2008",630,640,640,625,124.19M,-1.56%
"Sep 05, 2008",580,600,605,570,382.42M,-7.94%
"Sep 08, 2008",595,595,600,585,149.20M,2.59%
"Sep 09, 2008",575,590,590,560,160.70M,-3.36%
"Sep 10, 2008",550,565,570,535,337.84M,-4.35%
"Sep 11, 2008",540,550,555,530,219.67M,-1.82%
"Sep 12, 2008",505,530,530,500,296.78M,-6.48%
"Sep 15, 2008",480,500,510,475,129.91M,-4.95%
"Sep 16, 2008",515,475,525,458,247.03M,7.29%
"Sep 17, 2008",530,535,550,520,222.72M,2.91%
"Sep 18, 2008",520,500,530,485,280.91M,-1.89%
"Sep 19, 2008",560,540,580,540,213.64M,7.69%
"Sep 22, 2008",590,575,595,575,158.35M,5.36%
"Sep 23, 2008",555,575,580,555,166.54M,-5.93%
"Sep 24, 2008",560,550,570,545,119.54M,0.90%
"Sep 25, 2008",550,570,580,550,93.60M,-1.79%
"Sep 26, 2008",540,550,550,525,181.24M,-1.82%
"Sep 29, 2008",540,535,545,525,87.95M,0.00%
"Oct 06, 2008",495,510,510,485,199.75M,-8.33%
"Oct 07, 2008",480,495,500,480,97.22M,-3.03%
"Oct 08, 2008",428,465,465,428,59.76M,-10.83%
"Oct 13, 2008",422,385,442,385,776.67M,-1.40%
